Issue Type,Epic Name,Summary,Description,Priority,Story Points,Sprint,Assignee,Component,Epic Link
Epic,S2-EP02: Gestión de Convocatorias y Programas,[Sprint 2] EP-02: Gestión de Convocatorias y Programas,"Parametrización, fechas, cupos, publicación y cierre de convocatorias.",Highest,,Sprint 2,Erick Chuquiej,Convocatorias,
Story,,HU-002: Creación y parametrización de convocatorias de becas,"Permitir al Administrador de Becas crear convocatorias definiendo cupos, promedio mínimo, nivel y requisitos documentales.",Highest,5,Sprint 2,Erick Chuquiej,Convocatorias,S2-EP02: Gestión de Convocatorias y Programas
Story,,HU-003: Publicación y cierre programado de convocatorias,Permitir la publicación oficial de convocatorias y cierre automático de recepción de solicitudes al vencer la fecha límite.,Highest,3,Sprint 2,Erick Chuquiej,Convocatorias,S2-EP02: Gestión de Convocatorias y Programas
Epic,S2-EP03: Consulta y Búsqueda de Oportunidades,[Sprint 2] EP-03: Consulta y Búsqueda de Oportunidades,Catálogo público ciudadano con filtros avanzados y visualización de bases.,Highest,,Sprint 2,Daniel Ericastilla,Catálogo Público,
Story,,HU-004: Catálogo público y búsqueda de becas con filtros,"Permitir al ciudadano buscar becas activas filtrando por nivel académico, departamento y tipo de apoyo sin requerir autenticación.",Highest,3,Sprint 2,Daniel Ericastilla,Catálogo Público,S2-EP03: Consulta y Búsqueda de Oportunidades
Story,,"HU-005: Visualización detallada de bases, requisitos y calendario de becas","Mostrar la ficha técnica completa de la convocatoria con requisitos, montos de apoyo, rúbrica y cronograma oficial descargable.",High,2,Sprint 2,Daniel Ericastilla,Catálogo Público,S2-EP03: Consulta y Búsqueda de Oportunidades
Epic,S2-EP04: Accesibilidad y Experiencia Web Móvil,[Sprint 2] EP-04: Accesibilidad y Experiencia Web Móvil,Diseño responsive y optimización para baja conectividad móvil en el interior del país.,Highest,,Sprint 2,Daniel Ericastilla,UI / Frontend,
Story,,HU-006: Diseño adaptativo y optimización web móvil para baja conectividad,"Garantizar diseño 100% responsive en smartphones y tablets, con carga ligera (<2MB inicial) y compatibilidad WCAG 2.1 AA.",Highest,3,Sprint 2,Daniel Ericastilla,UI / Frontend,S2-EP04: Accesibilidad y Experiencia Web Móvil
Epic,S3-EP01: Gestión de Solicitudes y Postulaciones,[Sprint 3] EP-01: Gestión de Solicitudes y Postulaciones,"Flujo de postulación, guardado incremental en borrador y envío formal.",Highest,,Sprint 3,Walter Celada,Postulaciones,
Story,,HU-001: Creación de solicitud y guardado en borrador,Permitir al postulante iniciar una solicitud de beca y guardar su progreso como borrador para completarla posteriormente.,Highest,5,Sprint 3,Walter Celada,Postulaciones,S3-EP01: Gestión de Solicitudes y Postulaciones
Story,,HU-002: Validación de reglas de negocio y envío definitivo de solicitud,"Validar requisitos obligatorios, promedio mínimo y emitir número de expediente oficial al confirmar el envío definitivo inmutable.",Highest,5,Sprint 3,Walter Celada,Postulaciones,S3-EP01: Gestión de Solicitudes y Postulaciones
Story,,HU-003: Desistimiento voluntario de solicitud en estado borrador,Permitir al postulante cancelar o descartar una solicitud que aún se encuentre en borrador antes de su envío oficial.,High,2,Sprint 3,Raúl Álvarez,Postulaciones,S3-EP01: Gestión de Solicitudes y Postulaciones
Epic,S3-EP02: Gestión y Validación Documental Digital,[Sprint 3] EP-02: Gestión y Validación Documental Digital,"Carga de atestados en PDF, hashing SHA-256 y verificación de admisibilidad.",Highest,,Sprint 3,Raúl Álvarez,Documentación,
Story,,HU-004: Carga y previsualización de documentos probatorios en PDF,"Carga de archivos PDF (máx 5MB), validación de tipo MIME, cálculo de SHA-256 para integridad y visor integrado en navegador.",Highest,5,Sprint 3,Raúl Álvarez,Documentación,S3-EP02: Gestión y Validación Documental Digital
Story,,HU-005: Verificación administrativa de admisibilidad documental,"Permitir al Administrador de Becas revisar atestados, aprobar admisibilidad u observar documentos ilegibles/incompletos.",Highest,5,Sprint 3,Erick Chuquiej,Documentación,S3-EP02: Gestión y Validación Documental Digital
Epic,S3-EP03: Notificaciones y Comunicaciones del Proceso,[Sprint 3] EP-03: Notificaciones y Comunicaciones del Proceso,Servicio de mensajería transaccional por correo para eventos clave.,Highest,,Sprint 3,Javier Alvizures,Notificaciones,
Story,,HU-006: Notificaciones transaccionales automáticas por correo electrónico,"Despacho automático de correos institucionales informando recepción de solicitud, número de expediente y cambio de estado.",Highest,3,Sprint 3,Javier Alvizures,Notificaciones,S3-EP03: Notificaciones y Comunicaciones del Proceso
Epic,S4-EP01: Gestión Documental (Subsanación),[Sprint 4] EP-01: Gestión Documental (Subsanación),Subsanación de documentos observados en plazo de 3 días hábiles.,High,,Sprint 4,Daniel Ericastilla,Documentación,
Story,,HU-001: Subsanación de documentos observados en plazo límite,Permitir al postulante corregir y reemplazar únicamente los documentos observados dentro del plazo de 3 días hábiles.,High,5,Sprint 4,Daniel Ericastilla,Documentación,S4-EP01: Gestión Documental (Subsanación)
Epic,S4-EP02: Gestión de Comités Evaluadores,[Sprint 4] EP-02: Gestión de Comités Evaluadores,Conformación de comités y asignación equitativa y ciega de expedientes.,Highest,,Sprint 4,Erick Chuquiej,Comités y Evaluaciones,
Story,,HU-002: Conformación y gestión de comités evaluadores,Permitir al Administrador estructurar comités multidisciplinarios asignando coordinador y evaluadores por convocatoria.,Highest,3,Sprint 4,Erick Chuquiej,Comités y Evaluaciones,S4-EP02: Gestión de Comités Evaluadores
Story,,HU-003: Asignación de expedientes admitidos a comités evaluadores,Distribuir expedientes admitidos garantizando doble evaluación ciega (mínimo 2 evaluadores por solicitud).,Highest,5,Sprint 4,Erick Chuquiej,Comités y Evaluaciones,S4-EP02: Gestión de Comités Evaluadores
Epic,S4-EP03: Evaluación y Rúbricas Digitales,[Sprint 4] EP-03: Evaluación y Rúbricas Digitales,"Declaración ética, calificación mediante rúbrica digital y consolidación.",Highest,,Sprint 4,Walter Celada,Comités y Evaluaciones,
Story,,HU-004: Declaración obligatoria de no conflicto de interés,Exigir al evaluador la suscripción digital de declaración ética antes de visualizar y calificar cada expediente asignado.,Highest,2,Sprint 4,Walter Celada,Comités y Evaluaciones,S4-EP03: Evaluación y Rúbricas Digitales
Story,,HU-005: Evaluación individual mediante rúbrica digital estandarizada,Calificar criterios socioeconómicos y académicos con escala de 0 a 100 y justificación cualitativa obligatoria.,Highest,5,Sprint 4,Walter Celada,Comités y Evaluaciones,S4-EP03: Evaluación y Rúbricas Digitales
Story,,HU-006: Consolidación y cálculo ponderado del comité evaluador,Calcular promedio ponderado automático y alertar si existe discrepancia mayor a 20 puntos entre evaluadores para dirimencia.,Highest,5,Sprint 4,Walter Celada,Comités y Evaluaciones,S4-EP03: Evaluación y Rúbricas Digitales
Epic,"S5-EP01: Resolución, Aprobación y Adjudicación","[Sprint 5] EP-01: Resolución, Aprobación y Adjudicación",Emisión de actas colegiadas y resoluciones ministeriales oficiales.,Highest,,Sprint 5,Erick Chuquiej,Resolución y Adjudicación,
Story,,HU-001: Emisión de dictamen y acta de recomendación del comité,Generar acta formal de cierre del comité con orden de mérito y firmas digitales de los evaluadores.,Highest,3,Sprint 5,Erick Chuquiej,Resolución y Adjudicación,"S5-EP01: Resolución, Aprobación y Adjudicación"
Story,,HU-002: Aprobación final y emisión de resolución oficial de adjudicación,Permitir a la Autoridad Ministerial adjudicar becas a los seleccionados según cupos y emitir número de acuerdo.,Highest,5,Sprint 5,Erick Chuquiej,Resolución y Adjudicación,"S5-EP01: Resolución, Aprobación y Adjudicación"
Epic,S5-EP02: Trazabilidad y Consulta de Estado,[Sprint 5] EP-02: Trazabilidad y Consulta de Estado,Consulta en tiempo real del estado de trámite y línea de tiempo.,Highest,,Sprint 5,Daniel Ericastilla,Trazabilidad,
Story,,HU-003: Consulta en tiempo real del estado de postulación para estudiantes,Permitir al postulante visualizar en su dashboard el estado actualizado de su expediente y descargar constancia oficial.,Highest,2,Sprint 5,Daniel Ericastilla,Trazabilidad,S5-EP02: Trazabilidad y Consulta de Estado
Story,,HU-004: Registro cronológico de trazabilidad de eventos de la solicitud,"Mantener historial ordenado de cada cambio de estado, fecha, actor responsable y observaciones asociadas.",Highest,3,Sprint 5,Raúl Álvarez,Trazabilidad,S5-EP02: Trazabilidad y Consulta de Estado
Epic,S5-EP03: Notificaciones y Alertas en Plataforma,[Sprint 5] EP-03: Notificaciones y Alertas en Plataforma,Bandeja de notificaciones internas in-app para usuarios.,High,,Sprint 5,Daniel Ericastilla,Notificaciones,
Story,,HU-005: Bandeja interna de alertas y notificaciones en plataforma,"Mostrar campana de notificaciones con contador no leído y avisos de asignaciones, observaciones y resoluciones.",High,3,Sprint 5,Daniel Ericastilla,Notificaciones,S5-EP03: Notificaciones y Alertas en Plataforma
Epic,S5-EP04: Reportes y Estadísticas de Gestión,[Sprint 5] EP-04: Reportes y Estadísticas de Gestión,Consolidados exportables a Excel/PDF y dashboard gerencial con KPIs.,Highest,,Sprint 5,Raúl Álvarez,Reportes y Estadísticas,
Story,,HU-006: Generación de reporte consolidado de postulantes y resultados,"Exportar sábanas de datos en Excel/PDF con filtros por convocatoria, departamento, género y estado.",Highest,3,Sprint 5,Raúl Álvarez,Reportes y Estadísticas,S5-EP04: Reportes y Estadísticas de Gestión
Story,,HU-007: Tablero gráfico de control (Dashboard gerencial),"Visualizar métricas ejecutivas en tiempo real: postulaciones por departamento, tasa de aprobación y ejecución presupuestaria.",High,5,Sprint 5,Raúl Álvarez,Reportes y Estadísticas,S5-EP04: Reportes y Estadísticas de Gestión
Epic,"S5-EP05: Auditoría, Registro y Transparencia","[Sprint 5] EP-05: Auditoría, Registro y Transparencia",Bitácora inmutable de eventos críticos y padrón público de becarios.,Highest,,Sprint 5,Javier Alvizures,Auditoría y Transparencia,
Story,,HU-008: Bitácora inmutable de auditoría para fiscalización gubernamental,"Registrar cada acción crítica con IP, usuario, timestamp y payload antes/después con protección contra alteración.",Highest,3,Sprint 5,Javier Alvizures,Auditoría y Transparencia,"S5-EP05: Auditoría, Registro y Transparencia"
Story,,HU-009: Portal público de transparencia y padrón de becarios adjudicados,Publicar el padrón oficial de becarios adjudicados en cumplimiento con la Ley de Acceso a la Información Pública.,High,3,Sprint 5,Javier Alvizures,Auditoría y Transparencia,"S5-EP05: Auditoría, Registro y Transparencia"
